phase,module,document_type,fieldname,label,fieldtype,permlevel,sensitivity_class,recommended_read_roles,recommended_write_roles,mask_recommended,ignore_user_permissions,notes
Phase 1.5,Purchase Requisition,Purchase Requisition,justification,Justification,Long Text,1,Internal Control,"Requestor, Head of Department, Procurement Officer, Internal Auditor",Requestor / workflow actors,No,No,Need rationale.
Phase 1.5,Purchase Requisition,Purchase Requisition,technical_summary,Technical Summary,Long Text,1,Internal Control,"Requestor, Procurement Officer, Head of Department, Internal Auditor",Requestor / Procurement Officer,No,No,Technical explanation.
Phase 1.5,Purchase Requisition,Purchase Requisition,budget_reference,Budget Reference,Data,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Budget gate.
Phase 1.5,Purchase Requisition,Purchase Requisition,total_committed_amount,Total Committed Amount,Currency,2,Finance / Control,"Finance/Budget Officer, Procurement Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Encumbrance visibility.
Phase 1.5,Purchase Requisition,Purchase Requisition,exception_approval_note,Exception Approval Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor","Accounting Officer / Approving Authority, Head of Procurement",No,No,Elevated exceptions.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,justification,Justification,Long Text,1,Internal Control,"Requestor, Head of Department, Procurement Officer, Internal Auditor",Requestor / workflow actors,No,No,Need rationale.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,technical_summary,Technical Summary,Long Text,1,Internal Control,"Requestor, Procurement Officer, Head of Department, Internal Auditor",Requestor / Procurement Officer,No,No,Technical explanation.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,budget_reference,Budget Reference,Data,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Budget gate.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,total_committed_amount,Total Committed Amount,Currency,2,Finance / Control,"Finance/Budget Officer, Procurement Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Encumbrance visibility.
Phase 1.5,Purchase Requisition,Purchase Requisition Amendment,exception_approval_note,Exception Approval Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor","Accounting Officer / Approving Authority, Head of Procurement",No,No,Elevated exceptions.
Phase 1.5,Purchase Requisition,Purchase Requisition Approval,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 1.5,Purchase Requisition,Purchase Requisition Approval,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1.5,Purchase Requisition,Purchase Requisition Approval,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 1.5,Purchase Requisition,Purchase Requisition Commitment,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 1.5,Purchase Requisition,Purchase Requisition Commitment,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1.5,Purchase Requisition,Purchase Requisition Commitment,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1.5,Purchase Requisition,Purchase Requisition Commitment,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 1.5,Purchase Requisition,Purchase Requisition Commitment,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 1.5,Purchase Requisition,Purchase Requisition Commitment,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 1.5,Purchase Requisition,Purchase Requisition Commitment,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 1.5,Purchase Requisition,Purchase Requisition Exception,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 1.5,Purchase Requisition,Purchase Requisition Exception,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1.5,Purchase Requisition,Purchase Requisition Exception,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1.5,Purchase Requisition,Purchase Requisition Exception,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 1.5,Purchase Requisition,Purchase Requisition Exception,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 1.5,Purchase Requisition,Purchase Requisition Exception,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 1.5,Purchase Requisition,Purchase Requisition Exception,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,justification,Justification,Long Text,1,Internal Control,"Requestor, Head of Department, Procurement Officer, Internal Auditor",Requestor / workflow actors,No,No,Need rationale.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,technical_specification,Technical Specification,Long Text,1,Internal Control,"Requestor, Procurement Officer, Head of Department, Internal Auditor",Requestor / Procurement Officer,No,No,Should not be editable by finance.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,technical_summary,Technical Summary,Long Text,1,Internal Control,"Requestor, Procurement Officer, Head of Department, Internal Auditor",Requestor / Procurement Officer,No,No,Technical explanation.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,budget_reference,Budget Reference,Data,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Budget gate.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,remaining_app_balance,Remaining APP Balance,Currency,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",System or Finance/Budget Officer,No,No,Derived control field.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,total_committed_amount,Total Committed Amount,Currency,2,Finance / Control,"Finance/Budget Officer, Procurement Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Encumbrance visibility.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,exception_approval_note,Exception Approval Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor","Accounting Officer / Approving Authority, Head of Procurement",No,No,Elevated exceptions.
Phase 1.5,Purchase Requisition,Purchase Requisition Item,tendered_amount,Tendered Amount,Currency,4,Executive / Legal,"Procurement Officer, Head of Procurement, Internal Auditor",System or Procurement Officer,No,No,Post-handoff control.
Phase 1.5,Purchase Requisition,Purchase Requisition Snapshot,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 1.5,Purchase Requisition,Purchase Requisition Snapshot,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1.5,Purchase Requisition,Purchase Requisition Snapshot,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 1.5,Purchase Requisition,Purchase Requisition Snapshot,hash_or_lock_ref,Hash / Lock Ref,Data,5,Audit / System,Internal Auditor,System only,No,No,Immutable evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,operational_note,Operational Note,Long Text,1,Internal Control,"Contract Manager, relevant operational readers, Internal Auditor",Contract Manager,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,contract_value_or_delta,Contract Value / Delta,Currency,2,Finance / Control,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor","Contract Manager, Finance/Budget Officer",No,No,Commercial sensitivity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Termination/settlement/authority note.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,lock_reference,Lock / Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Forensic evidence.
Phase 1.5,Purchase Requisition,Requisition Tender Handoff,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1.5,Purchase Requisition,Requisition Tender Handoff,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 1.5,Purchase Requisition,Requisition Tender Handoff,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1.5,Purchase Requisition,Requisition Tender Handoff,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 3,"Contract, Execution, Inspection & Financial Control",Retention Register,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Retention Register,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Retention Register,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Retention Register,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Retention Register,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 3,"Contract, Execution, Inspection & Financial Control",Retention Register,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 3,"Contract, Execution, Inspection & Financial Control",Retention Register,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 1,Planning & Budgeting,Spend Category,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Spend Category,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Spend Category,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Spend Category,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 1,Planning & Budgeting,Strategic Objective,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Strategic Objective,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Strategic Objective,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Strategic Objective,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,account_number_or_id,Account Number / ID,Data,2,PII / Finance,"Supplier Registration Officer, Finance/Budget Officer, Internal Auditor",Supplier Registration Officer / Finance/Budget Officer,Yes,No,Mask strongly recommended.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,pep_or_verification_flag,PEP / Verification Flag,Check,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor","Accounting Officer / Approving Authority, Supplier Registration Officer",No,No,Enhanced due diligence.
Phase 2A,Supplier Registration & Eligibility,Supplier Bank Detail,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,account_number_or_id,Account Number / ID,Data,2,PII / Finance,"Supplier Registration Officer, Finance/Budget Officer, Internal Auditor",Supplier Registration Officer / Finance/Budget Officer,Yes,No,Mask strongly recommended.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,pep_or_verification_flag,PEP / Verification Flag,Check,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor","Accounting Officer / Approving Authority, Supplier Registration Officer",No,No,Enhanced due diligence.
Phase 2A,Supplier Registration & Eligibility,Supplier Beneficial Ownership,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 2A,Supplier Registration & Eligibility,Supplier Category Registration,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Supplier Category Registration,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Supplier Category Registration,supplier_ref,Supplier,Link,0,Operational,Supplier user + internal reviewers,Supplier user or system,No,No,Row-level permission should key off Supplier.
Phase 2A,Supplier Registration & Eligibility,Supplier Category Registration,portal_note,Portal Note,Long Text,1,Internal Control,"Supplier user, internal reviewers",Supplier user / internal reviewer,No,No,Administrative remarks.
Phase 2A,Supplier Registration & Eligibility,Supplier Category Registration,verification_result,Verification Result,Select,2,Finance / Compliance,"Supplier Registration Officer, Accounting Officer / Approving Authority, Internal Auditor",Supplier Registration Officer,No,No,Verification result.
Phase 2A,Supplier Registration & Eligibility,Supplier Category Registration,approval_rejection_note,Approval / Rejection Note,Long Text,4,Executive / Legal,"Head of Procurement, Accounting Officer / Approving Authority, Internal Auditor",Head of Procurement / Accounting Officer / Approving Authority,No,No,Decision note.
Phase 2A,Supplier Registration & Eligibility,Supplier Compliance Document,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Supplier Compliance Document,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Supplier Compliance Document,supplier_ref,Supplier,Link,0,Operational,Supplier user + internal reviewers,Supplier user or system,No,No,Row-level permission should key off Supplier.
Phase 2A,Supplier Registration & Eligibility,Supplier Compliance Document,portal_note,Portal Note,Long Text,1,Internal Control,"Supplier user, internal reviewers",Supplier user / internal reviewer,No,No,Administrative remarks.
Phase 2A,Supplier Registration & Eligibility,Supplier Compliance Document,verification_result,Verification Result,Select,2,Finance / Compliance,"Supplier Registration Officer, Accounting Officer / Approving Authority, Internal Auditor",Supplier Registration Officer,No,No,Verification result.
Phase 2A,Supplier Registration & Eligibility,Supplier Compliance Document,approval_rejection_note,Approval / Rejection Note,Long Text,4,Executive / Legal,"Head of Procurement, Accounting Officer / Approving Authority, Internal Auditor",Head of Procurement / Accounting Officer / Approving Authority,No,No,Decision note.
Phase 2A,Supplier Registration & Eligibility,Supplier Master,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 2A,Supplier Registration & Eligibility,Supplier Master,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Supplier Master,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Supplier Master,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 2A,Supplier Registration & Eligibility,Supplier Master,bank_verification_status,Bank Verification Status,Select,2,Finance / Control,"Supplier Registration Officer, Finance/Budget Officer, Internal Auditor","Supplier Registration Officer, Finance/Budget Officer",No,No,Finance-sensitive master field.
Phase 2A,Supplier Registration & Eligibility,Supplier Master,registration_number,Registration Number,Data,2,PII / Compliance,"Supplier Registration Officer, Internal Auditor",Supplier Registration Officer,Yes,No,Mask if you adopt ERPNext data masking.
Phase 2A,Supplier Registration & Eligibility,Supplier Master,tax_id,Tax ID,Data,2,PII / Compliance,"Supplier Registration Officer, Finance/Budget Officer, Internal Auditor",Supplier Registration Officer,Yes,No,Tax data should not sit at PL0.
Phase 2A,Supplier Registration & Eligibility,Supplier Master,debarment_note,Debarment / Restriction Note,Small Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive/legal note.
Phase 2C,"Evaluation, Award & Challenge",Supplier Performance Baseline,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Supplier Performance Baseline,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Supplier Performance Baseline,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Supplier Performance Baseline,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2A,Supplier Registration & Eligibility,Supplier Registration Application,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Supplier Registration Application,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Supplier Registration Application,supplier_ref,Supplier,Link,0,Operational,Supplier user + internal reviewers,Supplier user or system,No,No,Row-level permission should key off Supplier.
Phase 2A,Supplier Registration & Eligibility,Supplier Registration Application,portal_note,Portal Note,Long Text,1,Internal Control,"Supplier user, internal reviewers",Supplier user / internal reviewer,No,No,Administrative remarks.
Phase 2A,Supplier Registration & Eligibility,Supplier Registration Application,verification_result,Verification Result,Select,2,Finance / Compliance,"Supplier Registration Officer, Accounting Officer / Approving Authority, Internal Auditor",Supplier Registration Officer,No,No,Verification result.
Phase 2A,Supplier Registration & Eligibility,Supplier Registration Application,approval_rejection_note,Approval / Rejection Note,Long Text,4,Executive / Legal,"Head of Procurement, Accounting Officer / Approving Authority, Internal Auditor",Head of Procurement / Accounting Officer / Approving Authority,No,No,Decision note.
Phase 2A,Supplier Registration & Eligibility,Supplier Renewal Review,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Supplier Renewal Review,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2A,Supplier Registration & Eligibility,Supplier Renewal Review,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Supplier Renewal Review,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2A,Supplier Registration & Eligibility,Supplier Status Action,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Supplier Status Action,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2A,Supplier Registration & Eligibility,Supplier Status Action,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Supplier Status Action,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2A,Supplier Registration & Eligibility,Supplier Status Action,amount_or_legal_exposure,Amount / Legal Exposure,Currency / Data,2,Finance / Legal,"Accounting Officer / Approving Authority, owner role, Internal Auditor",Owner role / Accounting Officer / Approving Authority,No,No,Restricted decision basis.
Phase 2A,Supplier Registration & Eligibility,Supplier Status Action,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor",Accounting Officer / Approving Authority,No,No,Decision rationale.
Phase 2A,Supplier Registration & Eligibility,Suspension Debarment Register,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2A,Supplier Registration & Eligibility,Suspension Debarment Register,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2A,Supplier Registration & Eligibility,Suspension Debarment Register,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2A,Supplier Registration & Eligibility,Suspension Debarment Register,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2A,Supplier Registration & Eligibility,Suspension Debarment Register,amount_or_legal_exposure,Amount / Legal Exposure,Currency / Data,2,Finance / Legal,"Accounting Officer / Approving Authority, owner role, Internal Auditor",Owner role / Accounting Officer / Approving Authority,No,No,Restricted decision basis.
Phase 2A,Supplier Registration & Eligibility,Suspension Debarment Register,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor",Accounting Officer / Approving Authority,No,No,Decision rationale.
Phase 2B,"Tender Setup, Submission & Opening",Tender,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 2B,"Tender Setup, Submission & Opening",Tender,method,Procurement Method,Select,0,Operational,Tender setup readers,Procurement Officer / Head of Procurement,No,No,Visible to all tender readers.
Phase 2B,"Tender Setup, Submission & Opening",Tender,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 2B,"Tender Setup, Submission & Opening",Tender,internal_setup_note,Internal Setup Note,Long Text,1,Internal Control,"Procurement Officer, Head of Procurement, Internal Auditor",Procurement Officer,No,No,Not for supplier visibility.
